"","five_year_period","cown","cc3","average_crisis_tally","average_banking_crisis","average_currency_crisis","average_domestic_debt_crisis","average_external_debt_crisis","average_inflation_crisis","average_gdppc","average_pop","average_growth","democracy","independence","gold_standard"
"217",1815,92,"SLV",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"218",1815,93,"NIC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"219",1815,94,"CRI",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"220",1815,95,"PAN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"221",1815,100,"COL",0,0,0,0,0,0,NA,NA,NA,NA,0.2,0
"222",1815,101,"VEN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"223",1815,130,"ECU",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"224",1815,135,"PER",0,0,0,0,0,0,887.6,NA,-1.0960207336275,NA,0,0
"225",1815,140,"BRA",0.4,0,0.4,0,0,0,NA,NA,NA,NA,0,0
"226",1815,145,"BOL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"227",1815,150,"PRY",0,0,0,0,0,0,NA,NA,NA,0,0.4,0
"228",1815,155,"CHL",0,0,0,0,0,0,799,NA,-0.592397836547812,NA,0.4,0
"229",1815,160,"ARG",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0.8,0
"230",1815,165,"URY",0,0,0,0,0,0,NA,NA,NA,NA,1,NA
"231",1815,200,"GBR",1.4,0.6,0.2,0,0,0,3259.2,NA,-0.504545848706962,0,1,0
"232",1815,205,"IRL",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"233",1815,210,"NLD",0.4,0.2,0,0,0,0,2905.4,NA,-1.69391567717117,0,1,0
"234",1815,211,"BEL",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"235",1815,220,"FRA",0.2,0,0.2,0,0,0,NA,NA,NA,0,1,0
"236",1815,225,"CHE",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"237",1815,230,"ESP",1.2,0.6,0,0,0,0,1536.82,NA,NA,0,1,NA
"238",1815,235,"PRT",0.6,0,0.2,0,0,0.4,1430.61842,NA,4.9973037336376,0,1,0
"239",1815,255,"DEU",0.6,0,0.2,0,0,0.4,NA,NA,NA,0,1,0
"240",1815,290,"POL",0.6,0,0,0,0,0.6,753.8,NA,1.93106162875463,NA,0,0
"241",1815,305,"AUT",1.4,0,0.6,0,0.4,0.4,NA,NA,NA,0,1,0
"242",1815,310,"HUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"243",1815,325,"ITA",0.4,0,0,0,0,0.4,2566.7656,NA,0.370365440930394,NA,1,0
"244",1815,350,"GRC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"245",1815,360,"ROU",0.4,0,0,0,0,0.4,NA,NA,NA,NA,0,0
"246",1815,365,"RUS",0.2,0,0.2,0,0,0,NA,NA,NA,0,1,0
"247",1815,375,"FIN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"248",1815,380,"SWE",0.4,0,0.4,0,0,0,1409.4,NA,0.489908771412518,0,1,0
"249",1815,385,"NOR",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"250",1815,390,"DNK",0,0,0,0,0,0,NA,NA,NA,0,1,0
"251",1815,395,"ISL",NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA
"252",1815,437,"CIV",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"253",1815,452,"GHA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"254",1815,475,"NGA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"255",1815,482,"CAF",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"256",1815,501,"KEN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"257",1815,540,"AGO",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"258",1815,551,"ZMB",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"259",1815,552,"ZWE",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"260",1815,560,"ZAF",0,0,0,0,0,0,1274.6,NA,-3.23122332996509,NA,0,0
"261",1815,590,"MUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"262",1815,600,"MAR",0,0,0,0,0,0,NA,NA,NA,0,0,NA
"263",1815,615,"DZA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"264",1815,616,"TUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"265",1815,640,"TUR",0.2,0,0,0,0,0.2,NA,NA,NA,0,1,NA
"266",1815,651,"EGY",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"267",1815,710,"CHN",0,0,0,0,0,0,NA,NA,NA,0,1,NA
"268",1815,713,"TWN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"269",1815,732,"KOR",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,NA
"270",1815,740,"JPN",0,0,0,0,0,0,NA,NA,NA,0,1,0
"271",1815,750,"IND",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"272",1815,775,"MMR",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"273",1815,780,"LKA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"274",1815,800,"THA",0,0,0,0,0,0,NA,NA,NA,0,1,0
"275",1815,820,"MYS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"276",1815,830,"SGP",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"277",1815,840,"PHL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"278",1815,850,"IDN",0.2,0,0,0,0,0.2,835.4,NA,1.3184562802024,NA,0,0
"279",1815,900,"AUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"280",1815,920,"NZL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"281",1820,2,"USA",0,0,0,0,0,0,2755.29792,10626.8,1.07068865616193,1,1,0
"282",1820,20,"CAN",0,0,0,0,0,0,1441,816,NA,NA,0,0
"283",1820,42,"DOM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"284",1820,70,"MEX",0,0,0,0,0,0,1007,6587,NA,NA,0.8,0
"285",1820,90,"GTM",0,0,0,0,0,0,NA,595,NA,NA,0,0
"286",1820,91,"HND",0,0,0,0,0,0,NA,135,NA,NA,0,0
"287",1820,92,"SLV",0,0,0,0,0,0,NA,248,NA,NA,0,0
"288",1820,93,"NIC",0,0,0,0,0,0,NA,186,NA,NA,0,0
"289",1820,94,"CRI",0,0,0,0,0,0,NA,63,NA,NA,0,0
"290",1820,95,"PAN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"291",1820,100,"COL",0,0,0,0,0,0,850,1206,NA,NA,1,0
"292",1820,101,"VEN",0,0,0,0,0,0,968,718,NA,NA,0,0
"293",1820,130,"ECU",0,0,0,0,0,0,NA,500,NA,NA,0,0
"294",1820,135,"PER",0.2,0,0,0,0,0.2,702,1317,-5.2182270096299,0,0.8,0
"295",1820,140,"BRA",0.4,0,0.4,0,0,0,867,4507,NA,NA,0.6,0
"296",1820,145,"BOL",0,0,0,0,0,0,NA,1100,NA,NA,0,0
"297",1820,150,"PRY",0,0,0,0,0,0,NA,143,NA,0,1,0
"298",1820,155,"CHL",0,0,0,0,0,0,808.4,807.6,0.029016651809774,0,1,0
"299",1820,160,"ARG",0,0,0,0,0,0,1591,534,NA,NA,1,0
"300",1820,165,"URY",0,0,0,0,0,0,1983,55,NA,NA,1,NA
"301",1820,200,"GBR",0,0,0,0,0,0,3356,21829.2,2.42019445505893,0,1,0.8
"302",1820,205,"IRL",NA,NA,0,NA,NA,NA,1398,7261.2,NA,NA,1,NA
"303",1820,210,"NLD",2,1,0,0,0,0,3029.6,2401.4,2.06256814853753,0,1,0
"304",1820,211,"BEL",0,0,0,0,0,0,2358,3495.2,NA,NA,0,0
"305",1820,220,"FRA",0.2,0,0,0,0,0.2,1911.4,31685.4,2.4504345224255,0,1,0
"306",1820,225,"CHE",NA,NA,0,NA,NA,NA,NA,2008.6,NA,NA,1,NA
"307",1820,230,"ESP",0.6,0,0,0,0.4,0.2,1600,12366.8,NA,0,1,NA
"308",1820,235,"PRT",0.2,0,0,0,0,0.2,1618.77416,3335,-0.894795284947305,0,1,0
"309",1820,255,"DEU",0,0,0,0,0,0,1572,25612.2,NA,0,1,0
"310",1820,290,"POL",0,0,0,0,0,0,852,10426,2.31583808488138,NA,0,0
"311",1820,305,"AUT",0.2,0,0,0,0,0.2,1941,3402.4,NA,0,1,0
"312",1820,310,"HUN",0,0,0,0,0,0,NA,4146,NA,NA,0,0
"313",1820,325,"ITA",0,0,0,0,0,0,2669.68196,20437.6,0.57993661726303,NA,1,0
