"","case","cc3","country","year","gold_standard","independence","banking_crisis","systemic_crisis","domestic_debt_in_default","currency_crises","inflation_crises","external_default_ex_1975","external_default_in_1975","crisis_tally","cown","country_name"
"120",1,"DZA","Algeria",1919,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"121",1,"DZA","Algeria",1920,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"122",1,"DZA","Algeria",1921,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"123",1,"DZA","Algeria",1922,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"124",1,"DZA","Algeria",1923,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"125",1,"DZA","Algeria",1924,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"126",1,"DZA","Algeria",1925,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"127",1,"DZA","Algeria",1926,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"128",1,"DZA","Algeria",1927,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"129",1,"DZA","Algeria",1928,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"130",1,"DZA","Algeria",1929,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"131",1,"DZA","Algeria",1930,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"132",1,"DZA","Algeria",1931,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"133",1,"DZA","Algeria",1932,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"134",1,"DZA","Algeria",1933,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"135",1,"DZA","Algeria",1934,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"136",1,"DZA","Algeria",1935,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"137",1,"DZA","Algeria",1936,1,0,0,0,0,0,0,0,0,0,615,"Algeria"
"138",1,"DZA","Algeria",1937,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"139",1,"DZA","Algeria",1938,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"140",1,"DZA","Algeria",1939,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"141",1,"DZA","Algeria",1940,0,0,0,0,0,0,1,0,0,1,615,"Algeria"
"142",1,"DZA","Algeria",1941,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"143",1,"DZA","Algeria",1942,0,0,0,0,0,0,1,0,0,1,615,"Algeria"
"144",1,"DZA","Algeria",1943,0,0,0,0,0,1,1,0,0,2,615,"Algeria"
"145",1,"DZA","Algeria",1944,0,0,0,0,0,1,1,0,0,2,615,"Algeria"
"146",1,"DZA","Algeria",1945,0,0,0,0,0,0,1,0,0,1,615,"Algeria"
"147",1,"DZA","Algeria",1946,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"148",1,"DZA","Algeria",1947,0,0,0,0,0,0,1,0,0,1,615,"Algeria"
"149",1,"DZA","Algeria",1948,0,0,0,0,0,0,1,0,0,1,615,"Algeria"
"150",1,"DZA","Algeria",1949,0,0,0,0,0,0,1,0,0,1,615,"Algeria"
"151",1,"DZA","Algeria",1950,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"152",1,"DZA","Algeria",1951,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"153",1,"DZA","Algeria",1952,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"154",1,"DZA","Algeria",1953,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
